gene_name	C1000g.1	C1000g.2	C1000g.3	C1000g.4	C1000g.5	C300g.1	C300g.2	C300g.3	C300g.4	C300g.5	Anc.1	Anc.2	Anc.3	Anc.4	Anc.5	Mmp.1	Mmp.2.3	Mmp.3.3	Mmp.4.3	Mmp.5.3
MMP_RS00895	2309	2281	1953	1608	1681	2698	2437	2789	2320	2238	6997	4639	4461	7203	5104	23	108	66	418	229
MMP_RS00900	546	440	370	317	475	713	710	803	494	490	1325	967	865	1420	1042	14	41	20	90	112
MMP_RS00905	1034	957	847	748	736	1063	858	980	757	710	2663	1715	2003	2606	1718	56	165	51	358	139
MMP_RS00910	50	45	71	25	42	58	38	50	19	23	93	72	78	84	63	0	15	2	13	9
MMP_RS00915	104	83	87	84	61	243	179	242	192	185	1055	724	1039	1200	936	1	9	10	30	15
MMP_RS00920	5508	5292	4352	4457	3577	8632	6797	9448	6180	6612	13498	9442	13767	14014	12052	129	337	251	939	514
MMP_RS00925	2970	2971	2466	2213	2621	5927	5055	6665	4718	4648	2309	1563	1734	2115	1614	235	306	169	685	3007
MMP_RS00930	152	230	122	144	195	137	171	111	59	73	1226	785	738	1132	739	26	73	32	155	74
MMP_RS00935	1974	2213	1368	1211	1081	2112	2221	1845	1424	1826	6376	4002	2675	5263	2588	128	222	106	536	956
MMP_RS00940	2256	2138	1875	1761	1578	3280	2680	2932	1823	2374	5352	3985	3729	4569	3475	5	101	89	242	369
MMP_RS00945	1452	1334	1231	1115	797	2786	1907	2109	1457	1757	2621	1995	2042	1844	1657	8	71	23	72	85
MMP_RS00950	279	290	207	232	251	327	217	267	227	213	722	448	392	559	396	2	46	5	75	42
MMP_RS00955	146	144	132	84	109	189	126	154	79	107	373	270	235	353	253	7	21	14	75	33
MMP_RS00960	43	36	47	14	30	7	43	24	8	9	141	80	51	126	68	5	14	7	20	10
MMP_RS00965	419	377	419	352	291	722	489	494	426	430	333	290	275	260	238	15	8	9	49	10
MMP_RS00970	33	35	47	35	20	72	51	31	49	43	90	78	69	90	70	13	4	3	52	10
MMP_RS00975	662	565	501	414	425	767	578	704	464	526	951	721	735	760	537	9	19	13	32	15
MMP_RS00980	0	0	0	0	0	0	0	0	0	0	8	0	6	0	0	0	8	2	4	6
MMP_RS00985	52980	47294	43681	46722	43680	48603	45901	65453	48029	42264	36333	31931	30074	42860	22955	2282	4626	2350	9419	24056
MMP_RS00990	2707	2615	2406	2176	1923	3021	2374	3057	2047	2256	1616	1500	1377	1506	1063	237	333	205	658	1017
MMP_RS00995	641	483	433	440	400	746	654	808	437	548	2211	1752	2628	2783	2561	22	49	55	119	90
MMP_RS01000	1743	1132	1243	1120	977	1722	1632	1644	1448	1373	5456	4314	5123	5597	4625	90	110	100	445	316
MMP_RS01005	668	596	580	471	404	1742	1572	1821	1347	1388	2300	1733	2074	2241	1864	7	20	14	60	46
MMP_RS01010	2792	2652	2619	2250	2199	12510	10129	10958	8430	9846	10580	8153	10343	10551	9420	107	384	251	637	1813
MMP_RS01015	2543	2807	2459	1461	1283	3708	2013	1658	1224	1554	258	309	220	188	137	14	105	128	122	122
MMP_RS01020	1336	1323	844	938	601	3223	2470	2545	2030	2478	9272	6159	4175	6818	3108	28	45	51	247	215
MMP_RS01025	16	2	13	10	41	41	20	19	13	32	232	150	166	147	118	4	2	11	0	0
MMP_RS01030	161	92	109	67	40	147	116	144	95	137	882	591	565	688	510	4	22	6	28	1
MMP_RS01035	215	197	135	134	167	313	227	304	179	244	959	647	733	906	764	8	6	3	25	29
MMP_RS01040	2982	2906	2310	2022	2067	1762	1458	1865	1448	1573	4656	2998	2847	4449	2949	36	104	34	244	171
MMP_RS01045	141	78	107	48	55	121	81	78	72	83	388	272	295	317	266	0	10	1	21	6
MMP_RS01055	128	106	139	129	78	111	99	67	48	69	35	1	88	97	103	5	3	0	46	17
MMP_RS01060	238	210	168	133	118	254	232	207	193	227	275	224	226	214	190	3	6	3	28	8
MMP_RS01065	62	38	49	35	20	84	49	53	31	68	152	104	160	130	95	2	14	1	40	0
MMP_RS01070	5741	3566	2860	2660	2140	2431	1854	1513	3951	3255	339	179	51	125	69	45	94	10	185	136
MMP_RS01075	184	295	187	134	171	214	143	135	109	118	0	0	0	0	5	7	15	16	34	13
MMP_RS01080	1760	1553	1335	1231	1396	2885	2478	2412	1870	2347	2884	2353	2437	2379	1964	13	25	28	93	241
MMP_RS01085	138	121	88	49	127	166	99	42	75	72	0	0	0	0	0	13	21	2	80	2
MMP_RS01090	151	98	117	174	162	118	66	28	77	112	0	0	0	0	6	3	19	0	3	1
MMP_RS01095	17	18	0	8	65	12	5	0	6	0	0	0	0	0	0	1	1	0	13	3
MMP_RS01100	66	25	23	10	7	79	61	73	33	33	9	16	1	10	0	0	3	3	8	9
MMP_RS01105	91	67	36	39	33	132	98	67	90	44	23	30	91	67	51	37	16	1	58	31
MMP_RS01110	95	74	49	25	21	71	48	40	42	41	38	7	70	47	64	6	21	1	62	10
MMP_RS01115	42	83	61	68	56	47	68	31	39	33	114	73	155	160	159	7	9	0	23	10
MMP_RS01120	572	553	489	494	397	832	761	789	596	682	926	718	1022	1095	893	26	64	44	99	47
MMP_RS01125	56	27	40	24	54	66	76	96	63	69	96	91	148	131	109	8	0	2	14	16
MMP_RS01130	868	917	707	670	799	1633	1554	2036	1427	1452	1588	1499	1881	1778	1637	19	39	28	86	156
MMP_RS01135	124	76	39	89	63	60	52	91	36	31	0	10	23	21	25	2	0	0	1	6
MMP_RS01140	213	141	198	128	105	169	130	156	145	130	234	212	278	297	248	0	3	1	4	0
MMP_RS01145	217	212	226	207	215	189	142	146	77	110	376	226	306	353	258	5	12	3	38	41
MMP_RS01150	2	4	13	0	12	24	2	6	0	7	0	0	0	0	1	5	4	0	22	10
MMP_RS01155	431	428	349	244	224	631	407	486	361	462	1423	1082	1029	1189	758	0	1	4	10	6
MMP_RS01160	0	0	0	0	0	15	0	2	8	0	5799	4383	3311	4086	2693	0	16	6	28	4
MMP_RS01165	5	0	0	0	0	0	0	0	0	0	116	70	13	8	0	0	10	0	2	1
MMP_RS01170	2379	2225	2119	1812	1512	2639	2180	2275	1598	1869	6959	5797	7315	8007	7365	53	159	108	378	289
MMP_RS01175	333	281	303	239	169	320	259	256	199	233	861	684	832	873	808	0	19	9	59	20
MMP_RS01180	276	218	339	198	206	305	264	268	225	222	731	573	907	780	645	9	17	8	36	2
MMP_RS01185	335	370	364	264	260	654	525	546	346	406	162	186	75	63	64	27	80	28	92	147
MMP_RS01190	93	101	92	47	83	141	76	66	129	44	159	94	161	163	133	9	29	10	69	8
MMP_RS01195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MMP_RS01200	105	49	74	39	7	164	88	68	61	73	227	195	177	107	108	0	0	10	2	19
MMP_RS01205	770	572	563	540	425	1337	943	1228	811	730	3957	2933	2489	3243	2339	25	36	17	80	79
MMP_RS01210	363	340	193	315	251	256	248	252	180	158	669	440	529	615	487	12	18	8	39	29
MMP_RS01215	273	254	212	232	248	528	435	508	306	428	1015	750	508	884	479	19	32	15	123	82
MMP_RS01220	0	0	0	0	0	0	0	0	0	0	49	38	40	14	19	0	0	2	4	0
MMP_RS01225	73	69	32	39	39	88	90	70	68	95	432	319	465	465	366	0	3	3	16	15
MMP_RS01230	1250	1080	1049	913	660	1203	958	1056	734	755	4537	3153	3583	4456	3227	13	43	49	148	53
MMP_RS01235	179	135	158	163	47	247	253	249	153	186	1826	1369	1910	2007	1677	3	44	14	17	26
MMP_RS01240	73	80	96	139	79	278	162	193	100	139	1074	932	1023	1081	925	7	9	19	42	25
MMP_RS01245	4605	3392	3668	3475	3003	6657	5720	6732	4051	4739	14907	11616	15206	15192	13368	87	236	127	614	630
MMP_RS01250	90	81	91	78	55	122	162	150	107	117	499	372	434	629	468	0	18	1	33	14
MMP_RS01255	100	61	101	38	14	99	86	113	42	69	518	380	393	394	341	20	16	0	35	17
MMP_RS01260	19	49	42	0	18	60	37	52	58	45	428	296	196	338	177	4	7	5	21	40
MMP_RS01265	450	441	327	414	371	815	622	795	573	617	539	463	694	771	598	11	13	5	55	55
MMP_RS01270	169	184	127	141	119	267	197	236	165	181	422	237	243	447	273	14	16	7	39	13
MMP_RS01275	35	50	41	43	24	45	51	68	35	27	123	61	55	89	74	3	13	0	10	20
MMP_RS01280	6477	6394	5232	5195	4475	9311	6950	7260	5652	6442	12626	10271	14016	13675	12216	146	399	298	797	1761
MMP_RS01285	2050	1912	1587	1563	1374	2201	1915	1840	1298	1502	5171	4196	5306	5742	4933	169	294	152	524	1431
MMP_RS01290	97	113	76	48	27	132	97	62	37	42	451	366	338	341	292	0	11	13	8	22
MMP_RS01295	32	39	28	34	15	29	54	17	22	9	188	169	176	190	164	0	7	2	0	0
MMP_RS01300	410	423	346	346	306	621	471	533	423	440	520	406	522	518	443	0	1	7	20	2
MMP_RS01305	287	267	214	273	158	307	192	168	157	158	601	510	450	483	379	0	26	8	12	7
MMP_RS01310	462	472	366	278	259	454	356	295	225	266	1169	951	1002	1157	799	15	11	10	43	40
MMP_RS01315	1339	1373	1134	1094	917	1383	1130	1122	764	931	6990	5342	7156	7629	6315	17	101	31	177	142
MMP_RS01320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	5
MMP_RS01325	20	58	40	48	60	39	46	46	36	18	0	0	2	0	6	7	0	10	17	11
MMP_RS01330	277	283	269	233	182	318	316	343	207	206	121	87	149	192	157	4	14	21	33	38
MMP_RS01335	5534	6988	4773	4650	4178	10624	7641	9621	6460	7289	4549	3523	2402	4309	1681	45	116	33	220	158
MMP_RS01340	105	120	162	123	58	257	205	150	105	116	450	345	237	327	147	0	6	7	6	15
MMP_RS01345	525	562	471	461	366	982	714	715	549	550	1391	1089	1131	1378	771	0	29	24	22	15
MMP_RS01350	91	148	110	41	41	351	259	198	78	130	370	356	337	406	266	1	0	3	7	37
MMP_RS01355	3691	3931	2975	2920	2952	10780	9146	12070	7938	9047	10780	8330	10769	12397	9205	273	550	283	901	1472
MMP_RS01360	11261	10550	8894	8803	8478	26179	21650	26438	19181	21635	26615	19577	25710	26598	19140	137	454	295	1036	887
MMP_RS01365	5971	4987	4697	4648	4460	14095	11795	14761	11130	11541	10338	9000	11203	10997	9197	108	257	180	724	932
MMP_RS09075	41215	40855	33495	33235	33075	71375	49849	59171	42270	52169	26176	20529	30603	26737	25795	174	332	272	642	963
MMP_RS01370	1335	1241	1112	1023	917	656	533	696	399	399	1770	1354	1340	1746	1206	65	221	154	520	605
MMP_RS01375	441	431	399	390	374	912	833	809	580	690	996	751	822	1010	741	4	40	4	60	63
MMP_RS01380	1404	1303	1142	1143	1181	2547	2312	2528	1860	2063	4304	3231	4421	4534	4143	18	32	15	79	60
MMP_RS01385	1551	1584	1214	1118	1056	2331	1739	1878	1379	1579	1466	1392	1766	1613	1545	3	34	30	97	59
MMP_RS01390	2424	2857	1930	1869	2179	3642	3076	4023	2547	2999	2764	2516	3249	3067	2854	87	174	94	390	785
MMP_RS01395	11031	8921	8887	8774	8020	15996	12950	16373	9507	11338	21854	14513	23951	25468	27323	1227	1501	800	3420	4533
MMP_RS01400	46423	34314	36029	35189	30434	49461	41220	51496	31907	37938	80020	53153	83160	92943	91982	699	1641	1292	5135	3434
MMP_RS01405	33156	24550	26281	26088	23250	36256	33027	39394	23677	28438	52040	35189	58677	60116	63684	714	1687	1055	3627	3823
MMP_RS01410	707	705	634	502	439	1181	923	1023	579	795	1576	1177	1684	1518	1544	4	11	11	35	32
MMP_RS01415	241	230	263	257	142	500	300	354	183	247	1228	898	1086	957	924	5	12	13	18	18
MMP_RS08935	1268	1149	841	544	861	2293	1776	1554	1778	1777	0	0	0	0	0	12	24	4	43	25
MMP_RS01420	58	22	73	6	9	148	90	52	56	29	0	0	0	0	0	8	3	0	28	1
MMP_RS01425	576	470	534	415	378	572	485	516	446	492	2325	1581	1441	2156	1327	15	24	26	69	61
MMP_RS01430	185	205	187	166	111	227	181	152	142	160	1637	1178	1070	1456	1059	15	35	17	53	3
MMP_RS01435	29	34	12	8	1	57	31	22	6	2	459	297	212	364	216	11	22	16	113	204
MMP_RS01440	664	539	443	438	333	723	534	563	467	474	3022	2086	2165	2952	2027	8	11	16	79	15
MMP_RS01445	1117	1140	951	961	653	1775	1533	1705	1075	1330	4305	3007	3760	4732	3317	20	45	17	143	365
MMP_RS01450	838	787	708	757	600	1483	1106	1407	930	1023	2498	1675	2169	2450	1886	19	38	19	113	55
MMP_RS01455	243	229	227	135	181	274	148	217	158	202	768	568	607	705	524	10	31	8	33	35
MMP_RS01460	569	707	448	374	291	166	193	239	166	142	707	660	413	694	326	2	27	17	64	78
MMP_RS01465	822	1196	621	432	541	278	261	331	256	290	1260	937	538	927	424	28	17	32	180	48
MMP_RS01470	1199	1343	665	502	657	509	368	525	417	404	1206	941	517	779	345	76	76	22	237	163
MMP_RS01475	880	1035	652	545	480	640	488	641	358	367	593	437	353	356	243	33	55	38	164	95
MMP_RS01480	226	163	138	152	116	390	357	478	331	284	3107	1450	1384	1546	1205	14	33	16	53	23
MMP_RS01485	3293	1523	2137	1813	1381	1559	1260	1396	1346	1431	125	110	124	114	98	40	58	11	127	75
MMP_RS01490	569	482	462	364	219	881	503	417	310	342	1810	1523	1531	1517	1064	11	18	21	48	97
MMP_RS01495	2339	1850	1917	1596	1289	2553	1973	2236	1449	1735	6267	4209	4450	6065	3797	6	30	28	74	21
MMP_RS01500	1458	1291	1075	984	877	2603	2146	2424	1775	2041	2129	1782	2109	2171	1918	26	60	42	131	121
MMP_RS01505	2096	1855	1484	1467	1248	2970	2512	2690	2239	2199	2961	2514	2726	3151	2777	48	111	85	354	191
MMP_RS01510	596	644	482	525	479	819	747	827	589	614	1311	981	1408	1505	1453	4	26	25	73	34
MMP_RS01515	1749	1578	1443	1352	1292	1645	1594	1683	1021	1215	6070	4776	6099	6730	6107	28	81	31	171	187
MMP_RS01520	178	140	120	113	110	276	240	328	248	180	917	639	900	931	841	3	8	3	33	7
MMP_RS01525	1443	1452	1157	1089	1207	1848	1599	1811	1147	1579	979	795	1219	997	958	34	28	5	84	30
MMP_RS01530	2182	1608	2276	2105	1178	1904	1761	1885	1047	1339	3763	2841	4291	4297	4177	31	65	53	160	71
MMP_RS01535	3976	3327	3418	3323	2314	4984	3924	4196	2752	3127	4261	3267	4073	3840	3720	9	46	20	110	23
MMP_RS01540	117	93	73	53	17	104	84	60	30	48	17	0	14	22	16	0	0	0	0	2
MMP_RS01545	679	552	651	487	484	655	576	566	298	394	537	390	507	585	395	0	7	9	30	13
MMP_RS01550	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	7	0	4	0
MMP_RS01555	594	435	494	425	395	704	567	664	598	558	3727	2438	2100	3250	1947	11	60	13	119	101
MMP_RS01560	540	510	424	516	410	1367	1090	1313	733	914	1819	1525	2111	2178	1716	8	18	51	97	163
MMP_RS01565	606	477	527	356	335	710	737	701	480	461	1153	982	861	998	818	21	76	18	108	92
MMP_RS01570	210	192	157	167	116	406	308	270	159	207	95	150	110	103	83	5	14	20	9	37
MMP_RS01575	930	983	735	741	554	1353	1136	1156	1032	1081	1079	752	625	864	546	51	113	60	273	806
